,country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
30,Colombia,,,,,,,,,,,,7326.900000000001,7164.080000000001,7047.780000000001,7292.01,7454.830000000001,7582.76,7640.910000000001,7443.200000000001,7105.93,7652.540000000001,7582.76,7629.280000000001,7710.6900000000005,7803.7300000000005,7757.210000000001,8280.560000000001,8385.230000000001,8466.640000000001,8373.6,8513.16,8431.75,8466.640000000001,8687.61,8827.17,8815.54,8873.69,8455.01,8710.87,7664.17,7571.13,7431.570000000001,7175.71,7210.6,7187.34,7385.05,7664.17,7524.610000000001,7780.47,7978.18,8024.700000000001,7954.920000000001,7966.55,8420.12,8420.12,
31,Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.742,,,,,,,,,,,,,,661.7470000000001,703.615,779.21,743.157,,,,,,,,
32,"Congo, Dem. Rep.",,,,,,,,,,,,3779.7500000000005,3768.1200000000003,3803.01,3803.01,3791.38,3744.86,3756.4900000000002,3744.86,3803.01,3733.2300000000005,3814.6400000000003,3733.2300000000005,3884.42,3977.4600000000005,3872.7900000000004,3849.53,3896.05,3930.94,3907.6800000000003,3965.8300000000004,3826.2700000000004,3744.86,3675.0800000000004,3558.78,3593.67,3605.3,3582.0400000000004,3582.0400000000004,3523.8900000000003,3430.8500000000004,3454.11,3465.7400000000002,3489.0000000000005,3512.26,3535.5200000000004,3558.78,3570.4100000000003,3582.0400000000004,3570.4100000000003,3570.4100000000003,3675.0800000000004,4407.77,4477.55,4524.070000000001,
33,"Congo, Rep.",,,,,,,,,,,,4326.360000000001,4349.62,4279.84,4233.320000000001,4186.8,4454.29,4117.02,4151.91,4023.9800000000005,4058.8700000000003,4058.8700000000003,4175.17,4547.33,4279.84,4326.360000000001,4140.280000000001,4093.76,3872.7900000000004,3919.3100000000004,3884.42,3942.57,3791.38,3709.9700000000003,3116.84,3454.11,3163.36,2942.3900000000003,2860.98,2733.05,2640.01,2872.61,2814.46,3233.1400000000003,3326.1800000000003,3489.0000000000005,4407.77,3779.7500000000005,3907.6800000000003,4314.7300000000005,4558.96,5908.04,6594.21,6605.84,6454.650000000001,
34,Costa Rica,,,,,,,,,,,,4954.38,5163.72,5477.7300000000005,5233.5,5524.25,5431.21,6163.900000000001,6489.540000000001,6524.43,6117.38,5594.030000000001,5303.280000000001,5082.31,5361.43,5373.06,5477.7300000000005,5687.070000000001,5675.4400000000005,6163.900000000001,6256.9400000000005,6466.280000000001,8129.370000000001,8082.85,7768.84,7733.950000000001,7582.76,7501.35,7292.01,7873.51,8431.75,8338.710000000001,8629.460000000001,9117.92,10641.45,10490.26,11199.69,11862.6,11978.900000000001,11746.300000000001,11862.6,11630.0,11746.300000000001,11862.6,11862.6,
35,Cote d'Ivoire,,,,,,,,,,,,5361.43,5431.21,5361.43,5338.17,5373.06,5524.25,5384.6900000000005,5500.990000000001,5326.54,5175.35,4931.12,4698.52,4396.14,4291.47,4337.990000000001,4628.740000000001,4558.96,4477.55,4465.92,4233.320000000001,4210.06,4419.400000000001,4419.400000000001,4384.51,4221.6900000000005,4593.85,4535.700000000001,4396.14,5093.9400000000005,4803.1900000000005,4500.81,4710.150000000001,4361.25,6012.71,6094.120000000001,5861.52,6175.530000000001,6070.860000000001,5431.21,5756.85,6443.02,6815.18,7129.1900000000005,7129.1900000000005,
36,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23027.4,20236.2,18956.9,19538.4,18956.9,19654.7,20585.100000000002,21864.4,22678.5,22445.9,21864.4,23492.600000000002,24190.4,25934.9,25934.9,26283.800000000003,26167.5,27214.2,26516.4,25702.300000000003,25469.7,24888.2,23492.600000000002,23027.4,22097.0,
37,Cuba,,,,,,,,,,,,13723.400000000001,13025.6,13723.400000000001,14304.900000000001,14421.2,15002.7,16165.7,16979.800000000003,17328.7,17328.7,17328.7,17445.0,18375.4,17793.9,17561.300000000003,17445.0,17910.2,18724.300000000003,20236.2,19073.2,15700.500000000002,13723.400000000001,11362.51,11630.0,11606.740000000002,12560.400000000001,12909.300000000001,11978.900000000001,12444.1,13258.2,12909.300000000001,12095.2,11978.900000000001,11630.0,11013.61,11001.980000000001,10478.630000000001,11141.54,11862.6,12793.0,11978.900000000001,12444.1,11862.6,11978.900000000001,
38,Cyprus,,,,,,,,,,,,11001.980000000001,13839.7,14304.900000000001,10757.75,10106.470000000001,11606.740000000002,12444.1,13025.6,14072.300000000001,14653.800000000001,14304.900000000001,14537.500000000002,15002.7,15467.900000000001,15235.300000000001,16979.800000000003,19073.2,19073.2,19538.4,20701.4,20701.4,22794.800000000003,23957.800000000003,26749.0,23027.4,25120.800000000003,24074.100000000002,25237.100000000002,25004.5,26400.100000000002,25586.0,25469.7,27330.500000000004,25120.800000000003,25120.800000000003,25702.300000000003,26632.7,27795.7,26749.0,25586.0,24539.300000000003,22794.800000000003,19654.7,19887.300000000003,
39,Czech Republic,,,,,,,,,,,,53730.600000000006,53614.3,52916.5,48729.700000000004,50474.200000000004,51637.200000000004,54893.600000000006,51520.9,54661.00000000001,53032.8,53149.100000000006,53846.9,54079.5,55126.200000000004,55358.8,56289.200000000004,57917.4,56754.4,55126.200000000004,55824.00000000001,50590.5,49078.600000000006,47566.700000000004,46054.8,46752.600000000006,48264.5,48613.4,47217.8,43961.4,46403.700000000004,47799.3,48380.8,50706.8,51869.8,51172.0,52218.700000000004,51986.100000000006,50357.9,46868.9,49311.200000000004,47450.4,47101.5,46403.700000000004,45589.600000000006,3860.0
40,Denmark,22329.600000000002,23492.600000000002,26749.0,29075.000000000004,30238.000000000004,32796.600000000006,35704.100000000006,35587.8,37216.0,43031.0,46171.100000000006,43379.9,44891.8,43961.4,40588.700000000004,40123.5,43612.5,44542.9,45240.700000000004,46752.600000000006,43496.200000000004,39309.4,39774.600000000006,37564.9,38960.5,43845.100000000006,44426.600000000006,44426.600000000006,42333.200000000004,39658.3,39309.4,43379.9,41402.8,42449.5,43728.8,43147.3,48497.100000000006,44775.5,43845.100000000006,41868.0,40588.700000000004,41635.4,41170.200000000004,43379.9,41868.0,40588.700000000004,43379.9,42100.600000000006,40705.0,38727.9,40821.3,37564.9,35936.700000000004,36401.9,33378.100000000006,2820.0
41,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2558.6000000000004,,,,,,,,,,,,,,2000.3600000000001,2058.51,2093.4,2070.1400000000003,,,,,,,,
42,Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500.63,,,,,,,,,,,,,,6443.02,6757.030000000001,6908.22,7059.410000000001,,,,,,,,
43,Dominican Republic,,,,,,,,,,,,5884.780000000001,6675.620000000001,6826.81,7001.26,6966.370000000001,7012.89,7001.26,7012.89,7117.56,6884.96,6966.370000000001,6954.740000000001,7233.860000000001,7466.460000000001,6094.120000000001,6198.79,6884.96,6454.650000000001,6245.31,6547.6900000000005,6477.910000000001,7047.780000000001,6698.88,7559.500000000001,7803.7300000000005,8013.070000000001,8792.28,9141.18,9362.150000000001,9908.76,9466.820000000002,9908.76,9245.85,8245.67,8838.800000000001,9036.51,9071.400000000001,8978.36,8699.24,9036.51,9083.03,9478.45,8838.800000000001,8745.76,
44,Ecuador,,,,,,,,,,,,4163.54,4198.43,4140.280000000001,4872.97,5221.870000000001,5652.18,6594.21,6617.47,6803.55,7268.750000000001,7373.42,7733.950000000001,6989.63,7303.64,7198.97,7001.26,6989.63,7152.450000000001,6675.620000000001,7198.97,7385.05,7315.27,6663.990000000001,6978.000000000001,7989.81,8234.04,8373.6,8431.75,7431.570000000001,8082.85,8420.12,8082.85,8059.59,7652.540000000001,7850.250000000001,7757.210000000001,8629.460000000001,7815.360000000001,9164.44,9117.92,9513.34,9245.85,9815.720000000001,10339.070000000002,
45,Egypt,,,,,,,,,,,,2570.23,2767.94,2523.71,2767.94,2954.02,3361.07,3593.67,3616.9300000000003,3884.42,4058.8700000000003,4605.4800000000005,4919.490000000001,5314.910000000001,5745.22,6059.2300000000005,6059.2300000000005,6280.200000000001,6256.9400000000005,6512.8,6687.25,6536.06,6559.320000000001,6663.990000000001,6291.830000000001,6559.320000000001,6815.18,6954.740000000001,7315.27,7326.900000000001,6861.700000000001,7559.500000000001,7652.540000000001,7792.1,8268.93,9466.820000000002,9827.35,10339.070000000002,10560.04,10594.93,10199.51,10478.630000000001,10536.78,9873.87,9618.01,
46,El Salvador,,,,,,,,,,,,5407.950000000001,5628.92,5803.370000000001,5803.370000000001,6326.72,7140.820000000001,7222.2300000000005,7489.72,7175.71,6384.870000000001,6780.290000000001,6896.59,6536.06,6582.580000000001,6187.160000000001,5303.280000000001,5838.26,5373.06,5442.84,5442.84,5908.04,6082.490000000001,6315.09,6605.84,6943.110000000001,6559.320000000001,7187.34,7326.900000000001,7547.870000000001,7838.620000000001,8141.000000000001,8257.300000000001,8571.310000000001,8455.01,8664.35,9059.77,8524.79,8536.42,7954.920000000001,7989.81,8036.330000000001,7873.51,7408.31,7512.9800000000005,
47,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12327.800000000001,19422.100000000002,22329.600000000002,24888.2,,,,,,,,
48,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4524.070000000001,4779.93,4977.64,5268.39,5547.51,5512.620000000001,3570.4100000000003,3651.82,3593.67,3628.5600000000004,3512.26,3582.0400000000004,3174.9900000000002,3140.1000000000004,2767.94,2779.57,2558.6000000000004,2686.53,2721.42,2744.6800000000003,,,,
49,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72454.90000000001,67919.20000000001,49776.4,42333.200000000004,43612.5,42100.600000000006,46985.200000000004,46636.3,43031.0,40239.8,39193.100000000006,41170.200000000004,39774.600000000006,44194.0,45240.700000000004,44775.5,43961.4,49311.200000000004,47799.3,42449.5,49078.600000000006,49311.200000000004,48497.100000000006,53730.600000000006,53381.700000000004,4170.0
50,Ethiopia,,,,,,,,,,,,5535.88,5512.620000000001,5512.620000000001,5512.620000000001,5489.360000000001,5489.360000000001,5489.360000000001,5512.620000000001,5524.25,5524.25,5535.88,5524.25,5524.25,5512.620000000001,5512.620000000001,5524.25,5559.14,5547.51,5559.14,5570.77,5559.14,5500.990000000001,5524.25,5547.51,5559.14,5570.77,5559.14,5559.14,5559.14,5559.14,5605.660000000001,5617.29,5628.92,5640.55,5617.29,5628.92,5652.18,5663.81,5663.81,5663.81,5687.070000000001,5687.070000000001,5721.96,5733.59,
51,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4558.96,,,,,,,,,,,,,,9466.820000000002,8187.52,7850.250000000001,7292.01,,,,,,,,
52,Finland,25586.0,26167.5,27446.800000000003,28842.4,31168.4,33610.700000000004,35704.100000000006,36401.9,38844.200000000004,42682.100000000006,45008.100000000006,45822.200000000004,48729.700000000004,52451.3,50939.4,48613.4,51869.8,52567.600000000006,54195.8,57684.8,59894.50000000001,57335.9,55940.3,56056.600000000006,57103.3,61290.100000000006,63732.4,69314.8,65011.700000000004,66872.5,66174.70000000001,66756.20000000001,62569.4,65360.600000000006,69431.1,65825.8,70594.1,73036.40000000001,73501.6,73036.40000000001,72803.8,74548.3,78269.90000000001,82340.40000000001,82921.90000000001,76292.8,82689.3,81061.1,77572.1,72920.1,79432.90000000001,76060.20000000001,73036.40000000001,71175.6,72222.3,5920.0
